ResourceAgencyNum,MailingPostalCode,Latitude,Longitude,PublicName,EligibilityAdult,EligibilityChild,EligibilityFamily,EligibilityFemale,EligibilityMale,EligibilityTeen
12431971,N3Y 1S8,42.8350463,-80.3109824,Community Addiction and Mental Health Services Of Haldimand And Norfolk - Substance Abuse Counselling at Community Addiction and Mental Health Services of Haldimand and Norfolk - West Street Clinic,False,False,False,False,False,False
12440254,N7S 1H8,42.9692904,-82.3755363,Rebound - SAFE Program at Sarnia-Lambton Rebound - Sarnia,False,False,False,False,False,False
12824171,L3R 9T3,43.8553275,-79.3575656,York Support Services Network - Mental Health Services at York Support Services Network - South Office,False,False,False,False,False,False
12824170,L3Y 7R6,44.0509412,-79.4806547,York Support Services Network - Mental Health Services at York Support Services Network - Central Office,False,False,False,False,False,False
14473328,N0N 1J0,43.0963933,-82.00253,Rebound - SAFE Program at Sarnia-Lambton Rebound - Forest,False,False,False,False,False,False
14473329,N0N 1R0,42.8818439,-82.1472172,Rebound - SAFE Program at Sarnia-Lambton Rebound - Petrolia,False,False,False,False,False,False
14870818,L9W 1K3,43.9190708,-80.0969651,Wellington-Dufferin-Guelph Public Health Unit - Sexual Health Clinic at Wellington-Dufferin-Guelph Public Health Unit - Orangeville,True,False,True,True,True,True
17186503,K6H 1B4,43.67151142,-79.39245122,Bereaved Families of Ontario - Grief and Loss Support Group for Children at Bereaved Families of Ontario - Cornwall ,False,False,False,False,False,False
17186504,L8L 8E7,43.2342188,-79.8654711,Bereaved Families of Ontario - Grief and Loss Support Group for Children at Bereaved Families of Ontario - South Central,False,False,False,False,False,False
17186508,N6J 2N6,42.9542453,-81.2600894,Bereaved Families of Ontario - Grief and Loss Support Group for Children at Bereaved Families of Ontario - Southwest Region,False,False,False,False,False,False
17186511,K6H 1B4,45.018604,-74.7127187,Bereaved Families of Ontario - Grief and Loss Support Group for Youth at Bereaved Families of Ontario - Cornwall ,False,False,False,False,False,False
