ResourceAgencyNum,PublicName,AlternateName,OfficialName,TaxonomyLevelName,ParentAgency,ParentAgencyNum,UniqueIDPriorSystem,MailingAddress1,MailingAddress2,MailingCity,MailingStateProvince,MailingPostalCode,MailingCountry,MailingAddressIsPrivate,PhysicalAddress1,PhysicalAddress2,PhysicalCity,PhysicalCounty,PhysicalStateProvince,PhysicalPostalCode,PhysicalCountry,PhysicalAddressIsPrivate,Latitude,Longitude,HoursOfOperation,Phone1Number,Phone1Name,Phone1Description,Phone1IsPrivate,Phone2Number,Phone2Name,Phone2Description,Phone2IsPrivate,Phone3Number,Phone3Name,Phone3Description,Phone3IsPrivate,Phone4Number,Phone4Name,Phone4Description,Phone4IsPrivate,Phone5Number,Phone5name,Phone5Description,Phone5IsPrivate,PhoneFax,PhoneFaxDescription,PhoneFaxIsPrivate,PhoneTTY,PhoneTTYDescription,PhoneTTYIsPrivate,PhoneTollFree,PhoneTollFreeDescription,PhoneTollFreeIsPrivate,PhoneNumberHotline,PhoneNumberHotlineDescription,PhoneNumberHotlineIsPrivate,PhoneNumberBusinessLine,PhoneNumberBusinessLineDescription,PhoneNumberBusinessLineIsPrivate,PhoneNumberOutOfArea,PhoneNumberOutOfAreaDescription,PhoneNumberOutOfAreaIsPrivate,PhoneNumberAfterHours,PhoneNumberAfterHoursDescription,PhoneNumberAfterHoursIsPrivate,EmailAddressMain,WebsiteAddress,AgencyStatus,AgencyDescription,SearchHints,CoverageArea,CoverageAreaText,Eligibility,EligibilityAdult,EligibilityChild,EligibilityFamily,EligibilityFemale,EligibilityMale,EligibilityTeen,SeniorWorkerName,SeniorWorkerTitle,SeniorWorkerEmailAddress,SeniorWorkerPhoneNumber,SeniorWorkerIsPrivate,MainContactName,MainContactTitle,MainContactEmailAddress,MainContactPhoneNumber,MainContactType,MainContactIsPrivate,LicenseAccreditation,IRSStatus,FEIN,YearIncorporated,AnnualBudgetTotal,LegalStatus,SourceOfFunds,ExcludeFromWebsite,ExcludeFromDirectory,DisabilitiesAccess,PhysicalLocationDescription,BusServiceAccess,PublicAccessTransportation,PaymentMethods,FeeStructureSource,ApplicationProcess,ResourceInfo,DocumentsRequired,LanguagesOffered,LanguagesOfferedList,AvailabilityNumberOfTimes,AvailabilityFrequency,AvailabilityPeriod,ServiceNotAlwaysAvailability,CapacityType,ServiceCapacity,NormalWaitTime,EnteredOn,UpdatedOn,MadeInactiveOn,HighlightedResource,ConnectsToSiteNum,ConnectsToProgramNum,LanguageOfRecord,IsLinkOnly,ProgramAgencyNamePublic,SiteAgencyNamePublic,Categories,TaxonomyTerm,TaxonomyTerms,TaxonomyTermsNotDeactivated,TaxonomyCodes,Coverage,Hours,Custom_Are services provided to LGBTQ persons?,Custom_Automated Status,Custom_Batch ID,Custom_Does your program offer a harm reduction approach to service?,Custom_Eligibility by Age,Custom_Eligibility by Gender,Custom_In what language would you prefer to receive correspondence from Kids Help Phone?,Custom_Is this a bilingual service?,Custom_Manual Status,Custom_Please share your anonymity and confidentiality policy in regards to serving clients (please consider caller id age of consent client records application parental permission etc in your description):,Custom_Please suggest keywords that would be helpful when searching for this service:,Custom_Record Type,Custom_Source Database
12431971,Community Addiction and Mental Health Services Of Haldimand And Norfolk - Substance Abuse Counselling at Community Addiction and Mental Health Services of Haldimand and Norfolk - West Street Clinic,Community Addiction and Mental Health Services of Haldimand and Norfolk - West Street Clinic - Substance Abuse Counselling ,,ProgramAtSite,Community Addiction and Mental Health Services Of Haldimand And Norfolk,12369572,,216 West Street,Suite 103,Simcoe,,N3Y 1S8,Canada,No,216 West Street,Suite 103,Simcoe,Haldimand-Norfolk,ON,N3Y 1S8,Canada,No,42.8350463,-80.3109824,,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,519-426-3257,,FALSE,,,FALSE,1-877-909-4357,,FALSE,,,FALSE,519-426-8760,,FALSE,,,FALSE,,,FALSE,,http://www.camhs.ca/,Active,<span id=cphbody_lblagencydescription>Offers community-based addiction and mental health support services for individuals with mental illness or addiction problems.</span>,12431971,,,Individuals in the Haldimand-Norfolk region.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Nancy Candy-Harding,Chief Executive Officer,ncandy@camhs.ca,519-587-4658 ext 125,No,Kate Van Bradt,"Manager, Clinical Services",kvanbradt@camhs.ca,519-426-8760 ext 202 ,,No,,None or unknown,,,,None or unknown,,No,No,Wheelchair accessible,,,,,Free,Self Referral,,Documents not specified - inquire for more information,,English,,,,,,,,2014-06-10 10:59,2018-09-02 15:35,,FALSE,12383249,12391355,en,FALSE,Community Addiction and Mental Health Services Of Haldimand And Norfolk - Substance Abuse Counselling,Community Addiction and Mental Health Services of Haldimand and Norfolk - West Street Clinic,,Substance Use Disorder Counselling; ,Mental Health and Substance Use Disorder Services - Substance Use Disorder Services - Substance Use Disorder Treatment Programs - Substance Use Disorder Counselling,Substance Use Disorder Counselling,RX-8450.8000,ON - Haldimand-Norfolk County; ON - Haldimand-Norfolk County - Simcoe; ,Mon 8:30am - 4:30pm; Tue 8:30am - 4:30pm; Wed 8:30am - 4:30pm; Thu 8:30am - 4:30pm; Fri 8:30am - 4:30pm; ,,,,,,,,,,,,MCYS; RAM,KHP
12440254,Rebound - SAFE Program at Sarnia-Lambton Rebound - Sarnia,Rebound - SAFE Program - Sarnia/Lambton,,ProgramAtSite,Sarnia-Lambton Rebound ,12372269,,10 Lorne Crescent ,DOW Centre for Youth,Sarnia,ON,N7S 1H8,Canada,No,10 Lorne Crescent ,DOW Centre for Youth,Sarnia,Lambton,ON,N7S 1H8,Canada,No,42.9692904,-82.3755363,,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,519-344-2841,,FALSE,,,FALSE,,,FALSE,info@reboundonline.com,http://www.reboundonline.com/,Active,<p> <span id=cphbody_lblagencydescription><span id=cphbody_lblagencydescription>Encourages youth to make informed decisions on substance use. Weekly topics may include: communication/decision making; alcohol; goal setting; self respect; coping skills/marijuana; stimulants/depressants; risk taking; prescription drugs; and addiction.</span></span></p>,12440254,,,Youth 14-17.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,No,,,,,,No,,None or unknown,,,,None or unknown,,No,No,Not applicable,,,,,Nominal Fee,Self Referral,,Documents not specified - inquire for more information,,English,,,,,,,,2014-05-11 11:40,29/12/2014 10:11,,FALSE,12385934,12399623,en,FALSE,Rebound - SAFE Program,Sarnia-Lambton Rebound - Sarnia,,Substance Use Disorder Counselling; ,Mental Health and Substance Use Disorder Services - Substance Use Disorder Services - Substance Use Disorder Treatment Programs - Substance Use Disorder Counselling,Substance Use Disorder Counselling,RX-8450.8000,ON - Lambton County; ,,,,,,14; 15; 16; 17,,,,,,,MCYS; RAM,KHP
12824171,York Support Services Network - Mental Health Services at York Support Services Network - South Office,York Support Services Network - Mental Health - South Office ,,ProgramAtSite,York Support Services Network,12824151,,50 McIntosh Drive,Suite 239,Markham,ON,L3R 9T3,Canada,No,50 McIntosh Drive,Suite 239,Markham,York,ON,L3R 9T3,Canada,No,43.8553275,-79.3575656,,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,FALSE,,,FALSE,1-888-695-0070 ext 2278,,FALSE,,,FALSE,905-898-3721 ext 2278,,FALSE,,,FALSE,,,FALSE,,https://www.yssn.ca/,Active,Offers services to youth who have been diagnosed with a serious mental illness.,12824171,York South,,Offers services to youth 16 and older in York region  who have been diagnosed with a serious mental illness.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Marie Lauzier,Executive Director,mlauzier@yssn.ca,905-898-6455,No,Dan Rooney,MH Case Management Program,,905 898-6455 ext 2251,,No,,None or unknown,,,,None or unknown,,No,No,Not applicable,,,,,Free,Self Referral,,No Documentation Required,,English,,,,,,,,28/04/2014 15:16,2014-12-05 13:57,,FALSE,12824154,12824166,en,FALSE,York Support Services Network - Mental Health Services,York Support Services Network - South Office,,Community Mental Health Agencies; Individual Counselling; ,Mental Health and Substance Use Disorder Services - Mental Health Care Facilities - Outpatient Mental Health Facilities - Community Mental Health Agencies; Mental Health and Substance Use Disorder Services - Counseling Settings - Individual Counselling,Community Mental Health Agencies; Individual Counselling,RM-6500.1500; RF-3300,ON - York County; ON - York County - Markham; ,Mon 8:30am - 4:30pm; Tue 8:30am - 4:30pm; Wed 8:30am - 4:30pm; Thu 8:30am - 4:30pm; Fri 8:30am - 4:30pm; ,,,,,16; 17; 18; 19; 20; 21; 22; 23; 24; 25; >25,,,,,,,MCYS; RAM,KHP
12824170,York Support Services Network - Mental Health Services at York Support Services Network - Central Office,York Support Services Network - Mental Health Services - Central Office,,ProgramAtSite,York Support Services Network,12824151,,25 Millard Avenue West,,Newmarket,ON,L3Y 7R6,Canada,No,25 Millard Avenue West,,Newmarket,York,ON,L3Y 7R6,Canada,No,44.0509412,-79.4806547,,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,FALSE,,,FALSE,1-888-695-0070 ext 2278,,FALSE,,,FALSE,905-898-3721 ext 2278,,FALSE,,,FALSE,,,FALSE,,http://www.yssn.ca/,Active,Offers services to youth who have been diagnosed with a serious mental illness.,12824170,,,Offers services to youth 16 and older in York region who have been diagnosed with a serious mental illness.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Marie Lauzier,Executive Director,mlauzier@yssn.ca,905-898-6455,No,Dan Rooney,MH Case Management Program,,905 898-6455 ext 2251,,No,,None or unknown,,,,None or unknown,,No,No,Not applicable,,,,,Free,Self Referral,,No Documentation Required,,English,,,,,,,,28/04/2014 15:05,2014-12-05 12:50,,FALSE,12824152,12824166,en,FALSE,York Support Services Network - Mental Health Services,York Support Services Network - Central Office,,Community Mental Health Agencies; Individual Counselling; ,Mental Health and Substance Use Disorder Services - Mental Health Care Facilities - Outpatient Mental Health Facilities - Community Mental Health Agencies; Mental Health and Substance Use Disorder Services - Counseling Settings - Individual Counselling,Community Mental Health Agencies; Individual Counselling,RM-6500.1500; RF-3300,ON - York County; ON - York County - Newmarket; ,Mon 8:30am - 4:30pm; Tue 8:30am - 4:30pm; Wed 8:30am - 4:30pm; Thu 8:30am - 4:30pm; Fri 8:30am - 4:30pm; ,,,,,16; 17; 18; 19; 20; 21; 22; 23; 24; 25; >25,,,,,,,MCYS; RAM,KHP
14473328,Rebound - SAFE Program at Sarnia-Lambton Rebound - Forest,Rebound - SAFE Program - Forest,,ProgramAtSite,Sarnia-Lambton Rebound ,12372269,,59 King Street West,,Forest,ON,N0N 1J0,Canada,No,59 King Street West,,Forest,Lambton,ON,N0N 1J0,Canada,No,43.0963933,-82.00253,,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,519-466-3396,,FALSE,,,FALSE,,,FALSE,info@reboundonline.com,http://www.reboundonline.com/,Active,<span id=cphbody_lblagencydescription>Encourages youth to make informed decisions on substance use. Weekly topics may include: communication/decision making; alcohol; goal setting; self respect; coping skills/marijuana; stimulants/depressants; risk taking; prescription drugs; and addiction.</span>,14473328,,,Youth 14-17.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,No,,,,,,No,,None or unknown,,,,None or unknown,,No,No,Not applicable,,,,,Nominal Fee,Self Referral,,,,English,,,,,,,,2014-05-11 10:22,29/12/2014 10:07,,FALSE,14473323,12399623,en,FALSE,Rebound - SAFE Program,Sarnia-Lambton Rebound - Forest,,Substance Use Disorder Counselling; ,Mental Health and Substance Use Disorder Services - Substance Use Disorder Services - Substance Use Disorder Treatment Programs - Substance Use Disorder Counselling,Substance Use Disorder Counselling,RX-8450.8000,ON - Lambton County; ,,,,,,14; 15; 16; 17,,,,,,,MCYS; RAM,KHP
14473329,Rebound - SAFE Program at Sarnia-Lambton Rebound - Petrolia,Rebound - SAFE Program - Petrolia,,ProgramAtSite,Sarnia-Lambton Rebound ,12372269,,411 Wingfield Street,Unit 1,Petrolia,ON,N0N 1R0,Canada,No,411 Wingfield Street,Unit 1,Petrolia,Lambton,ON,N0N 1R0,Canada,No,42.8818439,-82.1472172,,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,519-466-3396,,FALSE,,,FALSE,,,FALSE,info@reboundonline.com,http://www.reboundonline.com/,Active,<p> <span id=cphbody_lblagencydescription><span id=cphbody_lblagencydescription>Encourages youth to make informed decisions on substance use. Weekly topics may include: communication/decision making; alcohol; goal setting; self respect; coping skills/marijuana; stimulants/depressants; risk taking; prescription drugs; and addiction.</span></span></p>,14473329,,,Youth 14-17.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,No,,,,,,No,,None or unknown,,,,None or unknown,,No,No,Not applicable,,,,,Nominal Fee,Self Referral,,Documents not specified - inquire for more information,,English,,,,,,,,2014-05-11 10:47,29/12/2014 10:08,,FALSE,14473322,12399623,en,FALSE,Rebound - SAFE Program,Sarnia-Lambton Rebound - Petrolia,,Substance Use Disorder Counselling; ,Mental Health and Substance Use Disorder Services - Substance Use Disorder Services - Substance Use Disorder Treatment Programs - Substance Use Disorder Counselling,Substance Use Disorder Counselling,RX-8450.8000,ON - Lambton County; ,,,,,,14; 15; 16; 17,,,,,,,MCYS; RAM,KHP
14870815,Wellington-Dufferin-Guelph Public Health Unit - Sexual Health Clinic at Wellington-Dufferin-Guelph Public Health Unit - Fergus,Wellington-Dufferin-Guelph Public Health Unit - Sexual Health Clinic - Fergus,,ProgramAtSite,Wellington-Dufferin-Guelph Public Health,12372347,,,,Palmerston,,,Canada,No,"474 Wellington Road 18, RR 1",Suite 100,Fergus,Wellington,ON,N1M 2W3,Canada,No,43.840091,-80.846656,Closed from 12:00pm - 1:00pm,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,519-846-0323,,FALSE,,,FALSE,1-800-265-7293 ,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,info@wdgpublichealth.ca,http://www.wdgpublichealth.ca,Active,"Offers sexual health counselling, sexually transmitted disease treatment.and birth control counselling. ",Previous ID: 12799 12399882 14870815,,,Open to all,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,No,,,,,,Yes,,None or unknown,,,,None or unknown,,No,No,Wheelchair Accessible,,,,,"Free, fee for contraception",Appointment Required and self referral ,,Documents not specified - inquire for more information,,English,,,,,,,,2013-09-09 11:08,18/10/2017 12:52,,FALSE,14870808,12399882,en,FALSE,Wellington-Dufferin-Guelph Public Health Unit - Sexual Health Clinic,Wellington-Dufferin-Guelph Public Health Unit - Fergus,,Sexual Health Centres; ,Health Care - Outpatient Health Facilities - Sexual Health Centres,Sexual Health Centres,LN-7800,ON - Wellington County; ,Mon 11:00am - 5:30pm; Wed 10:00am - 3:00pm; ,,,,,,,,,,,,RAM; MCYS,
14870817,Wellington-Dufferin-Guelph Public Health Unit - Sexual Health Clinic at Wellington-Dufferin-Guelph Public Health Unit - Mount Forest,Wellington-Dufferin-Guelph Public Health Unit - Sexual Health Clinic - Mount Forest,,ProgramAtSite,Wellington-Dufferin-Guelph Public Health,12372347,,,,Palmerston,,,Canada,No,311 Foster Street,,Mount Forest,Wellington,ON,N0G 2L1,Canada,No,43.840091,-80.846656,Call in advance for other hours Closed for lunch from 12:00pm - 1:00pm,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,519-323-9312 ,,FALSE,,,FALSE,1-800-265-7293 ,,FALSE,1-800-265-7293 ,,FALSE,,,FALSE,,,FALSE,,,FALSE,info@wdgpublichealth.ca,http://www.wdgpublichealth.ca,Active,"Offers sexually transmitted disease screening and treatment, hepatitis A and B immunizations, anonymous HIV tests, birth control counselling, contraception, pregnancy testing and pregnancy counselling.",Previous ID: 12799 12399882 14870817,,,Varies by service ,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,No,,,,,,Yes,,None or unknown,,,,None or unknown,,No,No,Wheelchair Accessible,Main Street North and Sligo Road East ,,,,"Free, cost for contraception",Appointment Required,,Documents not specified - inquire for more information,,English,,,,,,,,2013-09-09 11:08,18/10/2017 12:51,,FALSE,14870811,12399882,en,FALSE,Wellington-Dufferin-Guelph Public Health Unit - Sexual Health Clinic,Wellington-Dufferin-Guelph Public Health Unit - Mount Forest,,Sexual Health Centres; ,Health Care - Outpatient Health Facilities - Sexual Health Centres,Sexual Health Centres,LN-7800,ON - Wellington County - Wellington North; ,Thu 9:00am - 4:00pm; ,,,,,,,,,,,,RAM; MCYS,
14870818,Wellington-Dufferin-Guelph Public Health Unit - Sexual Health Clinic at Wellington-Dufferin-Guelph Public Health Unit - Orangeville,Wellington-Dufferin-Guelph Public Health Unit - Sexual Health Clinic - Orangeville,,ProgramAtSite,Wellington-Dufferin-Guelph Public Health,12372347,,180 Broadway Avenue,,Orangeville,,L9W 1K3,Canada,No,180 Broadway,,Orangeville,Dufferin,ON,L9W 1K3,Canada,No,43.9190708,-80.0969651,Some evenings may be available,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,519-942-0470,,FALSE,,,FALSE,1-800-265-7293 ext 4744,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,info@wdgpublichealth.ca,http://www.wdgpublichealth.ca,Active,"Offers birth control counselling, sexually transmitted disease testing and treatment, pregnancy testing, pregnancy counselling, Hepatitis A and B immunizations and anonymous HIV testing. ",Previous ID: 12799 12399882 14870818,,,Open to all<br />Birth control is for 24yrs and younger only,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,No,,,,,,Yes,,None or unknown,,,,None or unknown,,No,No,Wheelchair Accessible,John Street and Broadway,,,,"Free services, free or low-cost birth control",Appointment Required and self referral,,Health Card,,English,,,,,,,,2013-09-09 11:08,14/02/2018 14:27,,FALSE,14870812,12399882,en,FALSE,Wellington-Dufferin-Guelph Public Health Unit - Sexual Health Clinic,Wellington-Dufferin-Guelph Public Health Unit - Orangeville,,Sexual Health Centres; ,Health Care - Outpatient Health Facilities - Sexual Health Centres,Sexual Health Centres,LN-7800,ON - Dufferin County - Orangeville; ,Mon 8:30am - 4:30pm; Tue 12:00pm - 6:00pm; Wed 11:00am - 4:30pm; Fri 11:00am - 4:30pm; ,,,,,,,,,,,,RAM; MCYS,
17186503,Bereaved Families of Ontario - Grief and Loss Support Group for Children at Bereaved Families of Ontario - Cornwall ,Bereaved Families of Ontario - Grief and Loss Support Group for Children - Cornwall,,ProgramAtSite,Bereaved Families of Ontario,17185058,,216 Montreal Road,,Cornwall,ON,K6H 1B4,Canada,No,216 Montreal Road,,Cornwall,"Stormont, Dundas And Glengarry",ON,K6H 1B4,Canada,No,43.67151142,-79.39245122,Contact for hours of operation.,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE,613-936-1682,,FALSE,,,FALSE,,,FALSE,,,FALSE,613-936-1455,,FALSE,,,FALSE,,,FALSE,bfcornwall@on.aibn.com,http://bfocornwall.ca/,Active,Offers support services and support groups for children who have experienced a loss.,17186501 17186503,,,Children who have experienced a loss.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,No,,,,,,No,,None or unknown,,,,None or unknown,,No,No,Not applicable,,,,,Free,Registration Form,,No Documentation Required,,English,,,,,,,,2014-10-02 15:15,2014-10-07 13:55,,FALSE,17185247,17186501,en,FALSE,Bereaved Families of Ontario - Grief and Loss Support Group for Children,Bereaved Families of Ontario - Cornwall ,,Grief and Loss Counselling; ,Mental Health and Substance Use Disorder Services - Mental Health Assessment and Treatment - Counseling Services - Specialized Counseling Services - Grief and Loss Counselling,Grief and Loss Counselling,RP-1400.8000-100,"ON - Stormont, Dundas And Glengarry County; ON - Stormont, Dundas And Glengarry County - Cornwall; ",,,,,,,,,,,,,MCYS; RAM,KHP
